Intent,Support,Precision,Recall,F1
delivery_delay,25,0.556,0.600,0.577
package_missing_or_misdelivered,26,0.857,0.462,0.600
order_quality_issue,19,0.737,0.737,0.737
cancellation_request,14,0.846,0.786,0.815
return_request,15,0.667,0.667,0.667
refund_request,13,0.438,0.538,0.483
refund_status,16,0.600,0.562,0.581
payment_billing,14,0.733,0.786,0.759
prime_membership,14,0.800,0.571,0.667
account_access,13,0.923,0.923,0.923
technical_issue,16,1.000,0.500,0.667
other_unclear,15,0.400,0.933,0.560
